Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii Sports,41.36,28.96,3.77,8.45,82.53
Super Mario Bros.,29.08,3.58,6.81,0.77,40.24
Mario Kart Wii,15.68,12.76,3.79,3.29,35.52
Wii Sports Resort,15.61,10.93,3.28,2.95,32.77
Pokemon Red/Pokemon Blue	11.27,8.89,10.22,1,31.37
Tetris,23.2,2.26,4.22,0.58,30.26
New Super Mario Bros.,11.28,9.14,6.5,2.88,29.8
Wii Play,13.96,9.18,2.93,2.84,28.92
New Super Mario Bros. Wii,14.44,6.94,4.7,2.24,28.32
Duck Hunt,26.93,0.63,0.28,0.47,28.31
Nintendogs,9.05,10.95,1.93,2.74,24.67
Mario Kart DS,9.71,7.47,4.13,1.9,23.21
Pokemon Gold/Pokemon Silver,9,6.18,7.2,0.71,23.1
Wii Fit,8.92,8.03,3.6,2.15,22.7
Kinect Adventures!,15,4.89,0.24,1.69,21.81
Wii Fit Plus,9.01,8.49,2.53,1.77,21.79
Grand Theft Auto V,7.02,9.09,0.98,3.96,21.04
Grand Theft Auto: San Andreas,9.43,0.4,0.41,10.57,20.81
Super Mario World,12.78,3.75,3.54,0.55,20.61
